wine_type,winetype_numeric,residual sugar,pH,sulphates,sulphates 1=low 2=high,healthiness
red,1,1.4,3.75,0.48,1,1
red,1,2.2,3.46,0.47,1,1
red,1,1.8,3.36,0.44,1,1
red,1,1.8,3.36,0.44,1,1
red,1,2.4,3.47,0.45,1,1
red,1,2,3.6,0.46,1,1
red,1,1.4,3.45,0.48,1,1
red,1,2.1,3.49,0.49,1,1
red,1,3.2,3.61,0.49,1,1
red,1,1.6,3.33,0.37,1,1
red,1,5.5,3.35,0.49,1,1
red,1,5.5,3.35,0.49,1,1
red,1,1.8,3.5,0.44,1,1
red,1,2.4,3.26,0.39,1,1
red,1,2.4,3.26,0.39,1,1
red,1,2.1,3.51,0.43,1,1
red,1,1.75,3.38,0.49,1,1
red,1,2,3.4,0.47,1,1
red,1,1.7,3.41,0.47,1,1
red,1,1.9,3.44,0.48,1,1
red,1,3.6,3.28,0.49,1,1
red,1,2,3.33,0.46,1,1
red,1,2,3.33,0.46,1,1
red,1,2.8,3.36,0.49,1,1
red,1,2.8,3.36,0.49,1,1
red,1,2.2,3.39,0.4,1,1
red,1,2.2,3.39,0.4,1,1
red,1,3,3.43,0.46,1,1
red,1,4.65,3.41,0.39,1,1
red,1,4.65,3.41,0.39,1,1
red,1,1.2,3.39,0.47,1,1
red,1,2.6,3.3,0.47,1,1
red,1,1.7,3.12,0.48,1,1
red,1,2.7,3.24,0.44,1,1
red,1,1.9,3.37,0.46,1,1
red,1,1.9,3.37,0.46,1,1
red,1,2.1,3.5,0.4,1,1
red,1,2.1,3.23,0.48,1,1
red,1,1.7,3.29,0.47,1,1
red,1,2,3.36,0.44,1,1
red,1,2,3.36,0.44,1,1
red,1,1.9,3.51,0.43,1,1
red,1,2,3.3,0.48,1,1
red,1,2.2,3.21,0.49,1,1
red,1,1.9,3.34,0.47,1,1
red,1,0.9,2.89,0.44,1,1
red,1,0.9,2.89,0.44,1,1
red,1,2.6,3.22,0.37,1,1
red,1,1.8,3.54,0.48,1,1
red,1,1.4,3.11,0.46,1,1
red,1,2.1,3.26,0.47,1,1
red,1,2.2,3.3,0.43,1,1
red,1,1.7,3.53,0.49,1,1
red,1,3.4,3.48,0.49,1,1
red,1,3.3,3.23,0.44,1,1
red,1,1.65,3.19,0.46,1,1
red,1,2.1,3.9,0.56,2,2
red,1,2.3,3.85,0.6,2,2
red,1,2.1,3.71,0.74,2,2
red,1,1.6,3.74,0.62,2,2
red,1,1.2,4.01,0.59,2,2
red,1,4.3,3.49,0.66,2,2
red,1,2,3.72,0.74,2,2
red,1,1.6,3.7,0.75,2,2
red,1,1.3,3.9,0.62,2,2
red,1,2.1,3.46,0.87,2,2
red,1,1.7,3.56,0.94,2,2
red,1,1.8,3.68,0.73,2,2
red,1,1.6,3.54,0.62,2,2
red,1,2.3,3.71,0.62,2,2
red,1,2.15,3.78,0.61,2,2
red,1,1.8,3.68,0.79,2,2
red,1,1.8,3.68,0.79,2,2
red,1,1.5,3.62,0.61,2,2
red,1,1.7,3.57,0.84,2,2
red,1,2,3.78,0.64,2,2
red,1,1.2,4.01,0.59,2,2
red,1,1.2,3.57,0.85,2,2
red,1,1.8,3.5,0.82,2,2
red,1,2.1,3.68,0.73,2,2
red,1,2.2,3.71,0.63,2,2
red,1,2.2,3.71,0.63,2,2
red,1,2.4,3.56,0.55,2,2
red,1,2.5,3.52,0.58,2,2
red,1,1.4,3.56,0.82,2,2
red,1,2.3,3.63,0.63,2,2
red,1,2.3,3.63,0.63,2,2
red,1,1.4,3.45,0.56,2,2
red,1,1.8,3.54,0.52,2,2
red,1,2,3.66,0.6,2,2
red,1,1.7,3.39,0.54,2,2
red,1,13.4,3.33,0.54,2,2
red,1,2.1,3.56,0.77,2,2
red,1,2.1,3.56,0.77,2,2
red,1,1.9,3.5,0.53,2,2
red,1,1.6,3.48,0.85,2,2
red,1,2.4,3.62,0.67,2,2
red,1,1.8,3.3,0.5,2,2
red,1,2.1,3.54,0.93,2,2
red,1,2.1,3.54,0.93,2,2
red,1,12.9,3.3,0.56,2,2
red,1,2.3,3.58,0.59,2,2
red,1,1.8,3.42,0.74,2,2
red,1,1.7,3.45,0.54,2,2
red,1,2.1,3.52,0.56,2,2
red,1,2.2,3.59,0.54,2,2
red,1,1.4,3.25,0.59,2,2
red,1,2.5,3.46,0.65,2,2
red,1,2.1,3.59,0.61,2,2
red,1,2,3.45,0.87,2,2
red,1,1.6,3.61,0.54,2,2
red,1,2.2,3.57,0.57,2,2
red,1,2.2,3.57,0.57,2,2
red,1,1.8,3.44,0.78,2,2
red,1,2,3.59,0.55,2,2
red,1,2.9,3.51,0.6,2,2
red,1,3.2,3.56,0.52,2,2
red,1,2.1,3.41,0.6,2,2
red,1,2.3,3.41,0.68,2,2
red,1,2.4,3.56,0.73,2,2
red,1,2.3,3.56,0.51,2,2
red,1,3.9,3.5,0.67,2,2
red,1,2.3,3.47,0.71,2,2
red,1,2.2,3.49,0.52,2,2
red,1,3.3,3.36,0.62,2,2
red,1,1.65,3.47,0.53,2,2
red,1,2.3,3.56,0.51,2,2
red,1,1.6,3.5,0.63,2,2
red,1,5.6,3.58,0.5,2,2
red,1,2.2,3.62,0.62,2,2
red,1,2.2,3.61,0.7,2,2
red,1,4.3,3.45,0.56,2,2
red,1,2.8,3.21,0.56,2,2
red,1,8.3,3.44,0.55,2,2
red,1,3,3.33,0.59,2,2
red,1,3,3.45,0.63,2,2
red,1,6.1,3.35,0.68,2,2
red,1,1.9,3.69,0.73,2,2
red,1,1.9,3.69,0.73,2,2
red,1,1.6,3.44,0.58,2,2
red,1,2.2,3.59,0.68,2,2
red,1,1.7,3.12,0.5,2,2
red,1,2,3.35,0.76,2,2
red,1,7.8,3.52,0.5,2,2
red,1,1.8,3.44,0.55,2,2
red,1,2.3,3.52,0.56,2,2
red,1,2.3,3.52,0.56,2,2
red,1,2.7,3.58,0.89,2,2
red,1,2.4,3.4,0.72,2,2
red,1,2.4,3.38,0.66,2,2
red,1,2,3.38,0.52,2,2
red,1,2.4,3.35,0.54,2,2
red,1,2.9,3.46,0.61,2,2
red,1,1.7,3.39,0.6,2,2
red,1,1.7,3.39,0.6,2,2
red,1,1.7,3.39,0.6,2,2
red,1,1.7,3.39,0.6,2,2
red,1,2.8,3.42,1.16,2,2
red,1,2.1,3.36,0.7,2,2
red,1,2.1,3.36,0.7,2,2
red,1,2.3,3.52,0.57,2,2
red,1,8.6,3.16,0.57,2,2
red,1,2,3.6,0.74,2,2
red,1,2.4,3.55,0.61,2,2
red,1,1.7,3.44,0.63,2,2
red,1,8.8,3.38,0.64,2,2
red,1,8.8,3.38,0.64,2,2
red,1,2.1,3.34,0.52,2,2
red,1,5.6,3.46,0.72,2,2
red,1,5.6,3.46,0.72,2,2
red,1,2.1,3.47,0.55,2,2
red,1,2.3,3.36,0.58,2,2
red,1,2.1,3.35,0.62,2,2
red,1,2.1,3.35,0.62,2,2
red,1,2.4,3.52,0.55,2,2
red,1,3,3.45,0.56,2,2
red,1,6,3.41,0.59,2,2
red,1,6,3.41,0.59,2,2
red,1,3.9,3.41,0.52,2,2
red,1,4.8,3.53,0.54,2,2
red,1,2.5,3.43,0.56,2,2
red,1,1.8,3.4,0.82,2,2
red,1,1.8,3.4,0.82,2,2
red,1,2.7,3.44,0.63,2,2
red,1,2.7,3.44,0.63,2,2
red,1,2.3,3.41,0.83,2,2
red,1,1.8,3.36,0.55,2,2
red,1,1.8,3.36,0.55,2,2
red,1,2.5,3.26,0.58,2,2
red,1,2.2,3.41,0.59,2,2
red,1,2.4,3.41,0.6,2,2
red,1,2.3,3.42,0.58,2,2
red,1,2.4,3.4,0.59,2,2
red,1,2.4,3.4,0.6,2,2
red,1,2.2,3.25,1.18,2,2
red,1,2.5,3.46,0.57,2,2
red,1,1.5,3.53,0.57,2,2
red,1,2.8,3.41,0.52,2,2
red,1,2.4,3.34,0.53,2,2
red,1,2.6,3.46,0.5,2,2
red,1,2.6,3.46,0.5,2,2
red,1,2.2,3.41,0.75,2,2
red,1,2,3.4,0.84,2,2
red,1,2.1,3.44,0.58,2,2
red,1,1.4,3.32,0.58,2,2
red,1,2.4,3.3,0.65,2,2
red,1,1.8,3.61,0.82,2,2
red,1,2.4,3.4,0.53,2,2
red,1,2.3,3.4,0.54,2,2
red,1,2.2,3.52,0.62,2,2
red,1,4.5,3.3,1.17,2,2
red,1,4.5,3.3,1.17,2,2
red,1,1.8,3.53,0.61,2,2
red,1,2.1,3.35,0.54,2,2
red,1,5.6,3.34,0.76,2,2
red,1,2.3,3.39,0.56,2,2
red,1,4.8,3.32,0.7,2,2
red,1,1.6,3.5,0.63,2,2
red,1,2.5,3.38,0.6,2,2
red,1,2.5,3.38,0.6,2,2
red,1,2.5,3.38,0.6,2,2
red,1,2.5,3.39,0.77,2,2
red,1,2.1,3.39,0.84,2,2
red,1,2,3.43,0.59,2,2
red,1,2.8,3.24,0.53,2,2
red,1,1.8,3.49,0.64,2,2
red,1,1.8,3.49,0.64,2,2
red,1,1.9,3.37,0.64,2,2
red,1,1.9,3.37,0.64,2,2
red,1,5.5,3.42,0.71,2,2
red,1,5.5,3.42,0.71,2,2
red,1,5.5,3.42,0.72,2,2
red,1,5.5,3.42,0.72,2,2
red,1,2.3,3.42,0.58,2,2
red,1,2.3,3.42,0.58,2,2
red,1,2.2,3.42,0.68,2,2
red,1,2.2,3.4,0.58,2,2
red,1,2.3,3.4,0.61,2,2
red,1,2.3,3.4,0.61,2,2
red,1,4.4,3.41,0.57,2,2
red,1,2.5,3.42,0.65,2,2
red,1,2.1,3.42,0.55,2,2
red,1,2.5,3.35,0.54,2,2
red,1,2.4,3.35,0.66,2,2
red,1,2.1,3.3,0.53,2,2
red,1,2,3.39,0.52,2,2
red,1,2.3,3.35,0.52,2,2
red,1,1.7,3.23,1.1,2,2
red,1,2.5,3.37,0.54,2,2
red,1,2,3.44,0.58,2,2
red,1,2.3,3.38,0.6,2,2
red,1,2.3,3.38,0.6,2,2
red,1,2.6,3.39,0.71,2,2
red,1,2.1,3.4,0.85,2,2
red,1,2.1,3.4,0.85,2,2
red,1,2.1,3.4,0.85,2,2
red,1,2.1,3.4,0.85,2,2
red,1,2.2,3.42,0.72,2,2
red,1,2.5,3.32,0.79,2,2
red,1,5.5,3.37,0.68,2,2
red,1,2,3.23,0.73,2,2
red,1,2,3.23,0.73,2,2
red,1,2,3.23,0.76,2,2
red,1,2.3,3.32,0.51,2,2
red,1,1.9,3.46,0.53,2,2
red,1,2.1,3.35,0.61,2,2
red,1,2.5,3.52,0.8,2,2
red,1,2.8,3.34,0.72,2,2
red,1,2,3.43,0.54,2,2
red,1,2.1,3.3,0.65,2,2
red,1,2.1,3.3,0.65,2,2
red,1,2.3,3.43,0.62,2,2
red,1,3.6,3.4,0.63,2,2
red,1,2.4,3.46,0.59,2,2
red,1,2.1,3.33,0.53,2,2
red,1,5.9,3.33,0.83,2,2
red,1,5.9,3.33,0.83,2,2
red,1,1.8,3.35,0.58,2,2
red,1,2.5,3.36,0.78,2,2
red,1,2.5,3.36,0.78,2,2
red,1,2.2,3.32,0.68,2,2
red,1,2.5,3.6,0.59,2,2
red,1,2.2,3.32,0.68,2,2
red,1,1.2,3.29,0.52,2,2
red,1,1.2,3.29,0.52,2,2
red,1,1.6,3.38,0.57,2,2
red,1,2.5,3.35,0.77,2,2
red,1,2.1,3.34,0.82,2,2
red,1,2.2,3.58,0.67,2,2
red,1,1.8,3.37,0.62,2,2
red,1,3,3.37,0.51,2,2
red,1,1.8,3.49,0.68,2,2
red,1,1.8,3.49,0.68,2,2
red,1,4.25,3.63,0.54,2,2
red,1,2.4,3.43,0.59,2,2
red,1,2.4,3.58,0.69,2,2
red,1,2.4,3.58,0.69,2,2
red,1,2.6,3.39,0.68,2,2
red,1,2,3.45,0.58,2,2
red,1,1.9,3.42,0.57,2,2
red,1,2.1,3.35,0.63,2,2
red,1,2.1,3.35,0.63,2,2
red,1,1.8,3.38,0.88,2,2
red,1,1.6,3.38,0.58,2,2
red,1,2.4,3.32,0.6,2,2
red,1,1.8,3.35,0.54,2,2
red,1,1.8,3.35,0.54,2,2
red,1,3,3.37,0.7,2,2
red,1,2.6,3.3,0.59,2,2
red,1,1.7,3.36,0.54,2,2
red,1,1.7,3.36,0.54,2,2
red,1,1.7,3.36,0.54,2,2
red,1,1.7,3.36,0.54,2,2
red,1,2.3,3.58,0.61,2,2
red,1,6.1,3.35,0.8,2,2
red,1,6.1,3.35,0.8,2,2
red,1,2.6,3.21,0.9,2,2
red,1,2.6,3.38,0.59,2,2
red,1,2.6,3.36,0.62,2,2
red,1,2.6,3.36,0.62,2,2
red,1,2.5,3.38,0.55,2,2
red,1,2.3,3.4,0.64,2,2
red,1,3.1,3.54,0.6,2,2
red,1,2.2,3.44,0.72,2,2
red,1,3.1,3.21,1.03,2,2
red,1,2.6,3.21,0.57,2,2
red,1,2.7,3.21,0.59,2,2
red,1,2.7,3.31,0.61,2,2
red,1,2.8,3.17,0.63,2,2
red,1,2.8,3.22,0.55,2,2
red,1,1.7,3.37,0.51,2,2
red,1,3,3.32,0.57,2,2
red,1,1.7,3.31,0.62,2,2
red,1,2,3.44,0.64,2,2
red,1,1.9,3.36,0.59,2,2
red,1,2.5,3.3,0.58,2,2
red,1,2.1,3.48,0.65,2,2
red,1,2.3,3.32,0.62,2,2
red,1,2.5,3.51,0.71,2,2
red,1,2,3.44,0.82,2,2
red,1,2.7,3.44,0.54,2,2
red,1,2.5,3.22,0.59,2,2
red,1,2,3.39,0.62,2,2
red,1,2.4,3.29,0.6,2,2
red,1,2.2,3.35,0.65,2,2
red,1,1.8,3.32,0.56,2,2
red,1,1.8,3.32,0.56,2,2
red,1,2.6,3.37,0.58,2,2
red,1,2.6,3.37,0.58,2,2
red,1,2.6,3.38,0.56,2,2
red,1,2,3.15,0.79,2,2
red,1,2,3.28,0.9,2,2
red,1,2.1,3.41,0.57,2,2
red,1,2.1,3.41,0.57,2,2
red,1,2.7,3.37,0.78,2,2
red,1,1.8,3.41,0.71,2,2
red,1,1.7,3.33,0.56,2,2
red,1,2.3,3.43,0.59,2,2
red,1,6,3.37,0.69,2,2
red,1,2.8,3.31,0.64,2,2
red,1,1.9,3.31,0.56,2,2
red,1,2.4,3.42,0.6,2,2
red,1,2.6,3.38,0.62,2,2
red,1,1.9,3.4,0.69,2,2
red,1,1.9,3.31,0.63,2,2
red,1,2.7,3.33,0.78,2,2
red,1,2.1,3.24,0.53,2,2
red,1,2.5,3.34,0.61,2,2
red,1,2,3.39,0.66,2,2
red,1,2.3,3.46,0.74,2,2
red,1,4,3.36,0.67,2,2
red,1,4,3.36,0.67,2,2
red,1,2,3.33,0.68,2,2
red,1,1.5,3.29,0.71,2,2
red,1,1.9,3.27,0.54,2,2
red,1,1.6,3.29,0.69,2,2
red,1,2.2,3.33,0.93,2,2
red,1,2,3.35,0.6,2,2
red,1,2.5,3.34,0.74,2,2
red,1,1.7,3.32,0.8,2,2
red,1,2.9,3.49,0.96,2,2
red,1,8.3,3.01,0.51,2,2
red,1,8.3,3.01,0.51,2,2
red,1,1.9,3.41,0.56,2,2
red,1,3.6,3.35,0.86,2,2
red,1,2.5,3.2,0.72,2,2
red,1,2.8,3.35,0.56,2,2
red,1,1.7,3.34,0.57,2,2
red,1,2,3.36,0.61,2,2
red,1,2,3.26,0.56,2,2
red,1,1.8,3.42,0.92,2,2
red,1,1.9,3.34,0.95,2,2
red,1,2.7,3.31,0.58,2,2
red,1,2.6,3.43,0.62,2,2
red,1,2.8,3.31,0.62,2,2
red,1,2.4,3.37,0.58,2,2
red,1,2,3.22,0.58,2,2
red,1,1.8,3.36,0.66,2,2
red,1,1.9,3.3,0.64,2,2
red,1,1.7,3.38,0.6,2,2
red,1,2.2,3.28,0.66,2,2
red,1,2.1,3.15,0.81,2,2
red,1,2.2,3.3,1.2,2,2
red,1,2.1,3.37,0.77,2,2
red,1,2.8,3.43,0.72,2,2
red,1,2.6,3.37,0.56,2,2
red,1,2.6,3.37,0.56,2,2
red,1,2.2,3.27,1.01,2,2
red,1,2.3,3.25,0.53,2,2
red,1,1.6,3.25,0.54,2,2
red,1,2.5,3.53,0.81,2,2
red,1,2.8,3.53,0.61,2,2
red,1,1.9,3.24,0.69,2,2
red,1,2.1,3.29,0.75,2,2
red,1,2.1,3.29,0.75,2,2
red,1,5.1,3.22,0.94,2,2
red,1,5.1,3.22,0.94,2,2
red,1,2.4,3.27,0.81,2,2
red,1,2.4,3.27,0.81,2,2
red,1,2.5,3.27,0.85,2,2
red,1,2.2,3.31,0.68,2,2
red,1,2.5,3.4,0.78,2,2
red,1,2,3.28,0.57,2,2
red,1,1.9,3.23,0.81,2,2
red,1,1.9,3.21,0.54,2,2
red,1,2.3,3.27,0.55,2,2
red,1,2.5,3.32,0.88,2,2
red,1,2.4,3.33,0.7,2,2
red,1,2.4,3.33,0.7,2,2
red,1,2.8,3.3,0.76,2,2
red,1,2.6,3.48,0.53,2,2
red,1,1.9,3.39,0.61,2,2
red,1,1.4,3.25,0.64,2,2
red,1,2.6,3.51,0.72,2,2
red,1,2.5,3.36,0.54,2,2
red,1,2.1,3.4,0.61,2,2
red,1,3.4,3.36,0.61,2,2
red,1,2.5,3.31,0.7,2,2
red,1,2.2,3.32,0.58,2,2
red,1,2.4,3.34,0.86,2,2
red,1,4.2,3.45,0.68,2,2
red,1,3.8,3.27,0.64,2,2
red,1,2.1,3.26,0.62,2,2
red,1,2.1,3.26,0.62,2,2
red,1,2.4,3.31,0.77,2,2
red,1,2.4,3.31,0.77,2,2
red,1,2.3,3.38,0.77,2,2
red,1,2,3.31,0.57,2,2
red,1,1.7,3.39,0.6,2,2
red,1,2.1,3.13,0.52,2,2
red,1,2.2,3.3,0.72,2,2
red,1,2.2,3.3,0.72,2,2
red,1,1.8,3.38,0.89,2,2
red,1,1.8,3.38,0.89,2,2
red,1,3.1,3.22,0.78,2,2
red,1,2.1,3.11,0.78,2,2
red,1,2,3.27,0.71,2,2
red,1,1.9,3.36,0.67,2,2
red,1,1.8,3.3,0.75,2,2
red,1,1.7,3.52,0.63,2,2
red,1,1.9,3.16,0.85,2,2
red,1,1.9,3.16,0.85,2,2
red,1,4.7,3.38,0.66,2,2
red,1,2.3,3.14,0.71,2,2
red,1,1.8,3.38,0.72,2,2
red,1,1.7,3.3,0.74,2,2
red,1,1.75,3.33,0.76,2,2
red,1,6.3,3.28,0.56,2,2
red,1,2,3.28,0.6,2,2
red,1,2,3.2,0.56,2,2
red,1,2.8,3.33,0.6,2,2
red,1,6.4,3.27,0.58,2,2
red,1,6.4,3.27,0.58,2,2
red,1,1.9,3.47,0.87,2,2
red,1,2.3,3.18,0.8,2,2
red,1,2.3,3.18,0.8,2,2
red,1,1.8,3.35,0.69,2,2
red,1,2.2,3.27,0.67,2,2
red,1,1.4,3.36,0.76,2,2
red,1,2.7,3.26,0.63,2,2
red,1,2.5,3.34,0.86,2,2
red,1,2.5,3.34,0.86,2,2
red,1,2,3.14,0.57,2,2
red,1,2.8,3.33,0.67,2,2
red,1,3,3.48,0.74,2,2
red,1,3,3.48,0.74,2,2
red,1,3.3,3.3,0.73,2,2
red,1,2.4,3.33,0.77,2,2
red,1,6.2,3.24,0.77,2,2
red,1,4,3.22,0.5,2,2
red,1,4,3.22,0.5,2,2
red,1,1.7,3.31,0.53,2,2
red,1,1.4,3.21,0.75,2,2
red,1,3.3,3.31,0.53,2,2
red,1,2.2,3.54,0.66,2,2
red,1,2.2,3.54,0.66,2,2
red,1,2.2,3.21,0.6,2,2
red,1,2.2,3.21,0.6,2,2
red,1,2,3.15,0.69,2,2
red,1,2.1,3.26,0.56,2,2
red,1,1.7,3.14,0.59,2,2
red,1,2.3,3.39,0.72,2,2
red,1,2.3,3.39,0.72,2,2
red,1,2.8,3.31,0.79,2,2
red,1,5.9,3.3,0.62,2,2
red,1,2.6,3.32,0.79,2,2
red,1,2.3,3.37,0.58,2,2
red,1,1.9,3.18,1.36,2,2
red,1,2,3.17,0.55,2,2
red,1,2.5,3.34,0.64,2,2
red,1,5.6,3.38,0.77,2,2
red,1,5.6,3.38,0.77,2,2
red,1,2.2,3.33,0.83,2,2
red,1,2.2,3.33,0.83,2,2
red,1,3.45,3.44,0.52,2,2
red,1,2.6,3.4,0.69,2,2
red,1,1.8,3.41,0.76,2,2
red,1,1.8,3.41,0.76,2,2
red,1,1.8,3.41,0.76,2,2
red,1,3.6,3.23,0.7,2,2
red,1,4,3.21,0.59,2,2
red,1,4,3.21,0.59,2,2
red,1,1.7,3.25,0.55,2,2
red,1,1.9,3.35,0.7,2,2
red,1,2.2,3.27,0.75,2,2
red,1,2.6,3.32,0.9,2,2
red,1,2.4,3.36,0.53,2,2
red,1,2,3.34,0.57,2,2
red,1,1.7,3.29,0.67,2,2
red,1,1.7,3.29,0.67,2,2
red,1,3,3.29,0.55,2,2
red,1,2.4,3.33,0.65,2,2
red,1,1.3,3.2,0.83,2,2
red,1,2.1,3.31,0.62,2,2
red,1,2.4,3.13,0.58,2,2
red,1,2.4,3.2,0.6,2,2
red,1,2,3.22,0.6,2,2
red,1,2,3.44,0.86,2,2
red,1,2.1,3.41,0.87,2,2
red,1,2.1,3.41,0.87,2,2
red,1,1.9,3.18,0.63,2,2
red,1,1.9,3.32,0.71,2,2
red,1,1.9,3.32,0.71,2,2
red,1,1.8,3.32,1.04,2,2
red,1,9,3.18,0.6,2,2
red,1,1.8,3.18,0.82,2,2
red,1,1.6,3.23,0.58,2,2
red,1,2.1,3.3,0.8,2,2
red,1,1.8,3.18,0.55,2,2
red,1,2.05,3.26,0.84,2,2
red,1,2.05,3.26,0.84,2,2
red,1,2,3.26,0.84,2,2
red,1,2,3.27,0.85,2,2
red,1,4.6,3.28,0.57,2,2
red,1,1.8,3.21,0.69,2,2
red,1,2.2,2.87,1.36,2,2
red,1,1.6,3.2,0.67,2,2
red,1,2.3,3.24,0.56,2,2
red,1,2.3,3.35,0.61,2,2
red,1,2.2,3.33,0.86,2,2
red,1,2.5,3.34,0.79,2,2
red,1,2.2,3.26,0.65,2,2
red,1,2.6,3.34,0.75,2,2
red,1,2.8,3.31,0.67,2,2
red,1,2,3.28,0.79,2,2
red,1,1.8,3.27,0.77,2,2
red,1,1.6,3.24,0.81,2,2
red,1,1.5,3.47,0.73,2,2
red,1,1.5,3.47,0.73,2,2
red,1,1.5,3.47,0.73,2,2
red,1,1.7,3.27,0.78,2,2
red,1,1.5,3.18,0.89,2,2
red,1,2.1,3.22,0.72,2,2
red,1,3.8,3.23,0.57,2,2
red,1,2.8,3.19,0.73,2,2
red,1,2.7,3.19,0.7,2,2
red,1,2.3,3.47,0.9,2,2
red,1,2.5,3.15,0.5,2,2
red,1,2.2,3.07,0.63,2,2
red,1,3.6,3.29,0.52,2,2
red,1,3.6,3.29,0.52,2,2
red,1,2.8,3.15,0.92,2,2
red,1,2.8,3.12,0.54,2,2
red,1,2.4,3.2,1.13,2,2
red,1,2.4,3.2,1.13,2,2
red,1,4.6,3.27,0.64,2,2
red,1,4.6,3.34,0.79,2,2
red,1,1.9,3.25,0.62,2,2
red,1,2.7,3.12,0.74,2,2
red,1,2.1,3.23,0.56,2,2
red,1,1.9,3.26,0.56,2,2
red,1,8.9,3.29,0.81,2,2
red,1,6.3,3.21,0.73,2,2
red,1,2,3.29,0.58,2,2
red,1,2.4,3.28,0.73,2,2
red,1,2.5,3.19,0.7,2,2
red,1,2.8,3.11,0.92,2,2
red,1,3.4,3.3,0.65,2,2
red,1,2.2,3.14,0.6,2,2
red,1,2.2,3.14,0.6,2,2
red,1,1.4,3.22,0.82,2,2
red,1,2.9,3.3,0.64,2,2
red,1,2.9,3.3,0.64,2,2
red,1,2.3,3.24,0.56,2,2
red,1,1.9,3.15,0.75,2,2
red,1,2.8,3.18,0.68,2,2
red,1,2.1,3.23,0.66,2,2
red,1,2.4,3.2,0.71,2,2
red,1,2.2,3.36,0.76,2,2
red,1,1.6,3.27,0.66,2,2
red,1,2.5,3.29,0.62,2,2
red,1,2.5,3.29,0.62,2,2
