wine_type,winetype_numeric,residual sugar,pH,sulphates,sulphates 1=low 2=high,healthiness
red,1,2.6,3.26,0.66,2,2
red,1,1.5,3.14,0.51,2,2
red,1,2.1,3.27,0.74,2,2
red,1,2,3.3,0.86,2,2
red,1,2.7,3.42,0.9,2,2
red,1,3.2,3.23,0.58,2,2
red,1,2.6,3.31,0.79,2,2
red,1,2.5,3.24,0.65,2,2
red,1,2.5,3.41,0.67,2,2
red,1,1.4,3.19,0.55,2,2
red,1,1.7,3.14,0.57,2,2
red,1,3.2,3.37,0.71,2,2
red,1,3.2,3.37,0.71,2,2
red,1,2.3,3.34,0.52,2,2
red,1,1.7,3.35,0.94,2,2
red,1,2,3.04,0.9,2,2
red,1,2,2.94,0.98,2,2
red,1,2.1,3.26,0.79,2,2
red,1,1.5,3.26,0.82,2,2
red,1,1.7,3.18,0.83,2,2
red,1,2,3.15,0.73,2,2
red,1,2.4,3.19,0.76,2,2
red,1,6.7,3.27,0.82,2,2
red,1,2.2,3.18,0.69,2,2
red,1,5,3.19,0.52,2,2
red,1,6.2,3.21,0.49,1,1
red,1,1.8,3.17,0.42,1,1
red,1,1.9,3.17,0.47,1,1
red,1,1.9,3.17,0.47,1,1
red,1,1.9,3.1,0.48,1,1
red,1,2.7,3.28,0.56,2,2
red,1,2.7,3.22,0.68,2,2
red,1,2.2,3.18,0.56,2,2
red,1,2.2,3.18,0.56,2,2
red,1,2.2,3.18,0.63,2,2
red,1,2.2,3.18,0.63,2,2
red,1,2.6,3.36,0.8,2,2
red,1,2.3,3.15,0.57,2,2
red,1,2.7,3.23,0.63,2,2
red,1,1.9,2.98,0.63,2,2
red,1,3.4,3.26,0.93,2,2
red,1,2,3.23,0.52,2,2
red,1,2.9,3.33,0.62,2,2
red,1,2.6,3.22,0.64,2,2
red,1,1.8,3.04,0.79,2,2
red,1,5.1,3.32,0.64,2,2
red,1,2.4,3.17,0.65,2,2
red,1,1.6,3.24,0.83,2,2
red,1,3.4,3.43,0.64,2,2
red,1,2.4,3.22,0.65,2,2
red,1,2.3,3.17,0.53,2,2
red,1,2.4,3.14,0.61,2,2
red,1,2.6,3.05,0.74,2,2
red,1,2.5,3.38,0.86,2,2
red,1,2.2,3.16,0.67,2,2
red,1,2,3.14,0.79,2,2
red,1,2.4,3.22,0.63,2,2
red,1,4.1,3.29,0.99,2,2
red,1,2.1,3.2,0.69,2,2
red,1,2.9,3.23,0.66,2,2
red,1,2.9,3.23,0.66,2,2
red,1,2.9,3.16,0.78,2,2
red,1,2,3.16,0.72,2,2
red,1,4.5,3.28,0.83,2,2
red,1,1.4,3.16,0.51,2,2
red,1,6.4,3.23,0.82,2,2
red,1,2.1,3.22,0.66,2,2
red,1,2.7,3.22,0.64,2,2
red,1,1.8,3.25,1.02,2,2
red,1,1.9,3.33,0.87,2,2
red,1,1.9,3.33,0.87,2,2
red,1,1.8,3.18,1.06,2,2
red,1,2.8,3.26,0.74,2,2
red,1,2.8,3.26,0.74,2,2
red,1,3.7,3.19,0.7,2,2
red,1,2,3.22,0.76,2,2
red,1,2,3.22,0.76,2,2
red,1,2.3,3.1,0.87,2,2
red,1,2.1,3.12,0.65,2,2
red,1,6.55,3.17,0.85,2,2
red,1,6.55,3.17,0.85,2,2
red,1,3.3,3.21,0.69,2,2
red,1,1.8,3.21,1.05,2,2
red,1,1.9,3.18,1.04,2,2
red,1,2.1,3.15,0.9,2,2
red,1,2.1,3.15,0.9,2,2
red,1,2.2,3.06,0.84,2,2
red,1,2.95,3.24,0.75,2,2
red,1,2.4,3.09,0.66,2,2
red,1,2.4,3.09,0.66,2,2
red,1,2.2,3.23,0.76,2,2
red,1,3.2,3.19,0.7,2,2
red,1,2.9,3.08,0.57,2,2
red,1,2.8,3.06,0.57,2,2
red,1,2.5,3.26,0.86,2,2
red,1,2.6,3.23,0.72,2,2
red,1,2.3,3.14,0.72,2,2
red,1,2.7,3.21,0.87,2,2
red,1,2.2,3.26,0.66,2,2
red,1,4.1,3.06,0.66,2,2
red,1,2.6,3.15,0.65,2,2
red,1,2.6,3.15,0.65,2,2
red,1,1.9,3.12,0.65,2,2
red,1,2.6,3.15,0.79,2,2
red,1,1.6,3.22,0.78,2,2
red,1,2.6,2.99,1.18,2,2
red,1,2.5,3.24,0.71,2,2
red,1,2.5,3.24,0.71,2,2
red,1,2.1,3.17,0.76,2,2
red,1,1.6,3.28,0.73,2,2
red,1,4,3.22,0.78,2,2
red,1,1.8,3.28,0.77,2,2
red,1,1.8,3.28,0.77,2,2
red,1,4.6,3.07,0.56,2,2
red,1,4.6,3.07,0.56,2,2
red,1,2.8,3.22,0.68,2,2
red,1,2,3.3,0.71,2,2
red,1,2.1,3.31,0.88,2,2
red,1,2.55,3.18,0.61,2,2
red,1,1.5,3.22,0.64,2,2
red,1,3.1,3.17,0.53,2,2
red,1,2.7,3.12,1.02,2,2
red,1,2.2,3.02,0.83,2,2
red,1,2.2,3.02,0.83,2,2
red,1,3.2,3.17,0.66,2,2
red,1,2.65,3.24,0.77,2,2
red,1,2.5,3.06,0.72,2,2
red,1,5.15,3.22,0.62,2,2
red,1,1.8,3.15,0.57,2,2
red,1,2.4,3.2,0.53,2,2
red,1,2.4,3.2,0.53,2,2
red,1,5.2,3.22,0.69,2,2
red,1,2.7,3.13,0.7,2,2
red,1,2.7,3.15,0.63,2,2
red,1,6.2,3.11,0.99,2,2
red,1,2,3.11,0.97,2,2
red,1,4,3.28,0.97,2,2
red,1,4,3.28,0.97,2,2
red,1,4,3.28,0.97,2,2
red,1,2.6,3.09,0.53,2,2
red,1,2.6,3.18,0.65,2,2
red,1,2.6,3.18,0.65,2,2
red,1,3,3.26,0.88,2,2
red,1,3.3,3.32,0.91,2,2
red,1,3,3.26,1.11,2,2
red,1,4.4,3.01,0.83,2,2
red,1,2.8,3.13,0.53,2,2
red,1,1.4,3.07,0.65,2,2
red,1,1.4,3.07,0.65,2,2
red,1,2.1,3.21,0.67,2,2
red,1,2.8,3.32,0.92,2,2
red,1,3.65,3.05,0.74,2,2
red,1,1.7,3.15,0.67,2,2
red,1,2.2,3.21,0.69,2,2
red,1,1.8,3.2,0.72,2,2
red,1,3.4,3.3,0.76,2,2
red,1,2.1,3.11,0.62,2,2
red,1,2.5,3.05,0.56,2,2
red,1,1.9,3.09,0.63,2,2
red,1,2.7,3.16,0.61,2,2
red,1,2.7,3.16,0.61,2,2
red,1,2,3.24,0.76,2,2
red,1,3.1,3.15,0.85,2,2
red,1,2.6,3.12,0.78,2,2
red,1,2.8,3.1,0.61,2,2
red,1,2.8,3.1,0.61,2,2
red,1,2.15,3.06,0.68,2,2
red,1,3.4,3.17,0.84,2,2
red,1,2.3,3,0.65,2,2
red,1,2,3.1,0.76,2,2
red,1,1.4,3.07,0.6,2,2
red,1,1.4,2.92,0.68,2,2
red,1,3,3.18,0.63,2,2
red,1,2.1,3.14,0.71,2,2
red,1,4.2,3.22,0.6,2,2
red,1,2,3.03,0.66,2,2
red,1,1.4,3.13,0.63,2,2
red,1,1.4,3.13,0.63,2,2
red,1,2.6,3.1,0.61,2,2
red,1,3.1,3.2,0.8,2,2
red,1,2.6,3.12,0.75,2,2
red,1,3,3.16,1,2,2
red,1,2,2.99,0.87,2,2
red,1,2.6,3.15,0.82,2,2
red,1,2.6,3.1,0.73,2,2
red,1,2.4,3.08,0.87,2,2
red,1,4.3,3.25,0.74,2,2
red,1,2.5,3.07,0.82,2,2
red,1,2.8,3.21,0.76,2,2
red,1,2.8,3.14,0.57,2,2
red,1,2.8,3.14,0.57,2,2
red,1,5.8,3.07,0.73,2,2
red,1,5.8,3.07,0.73,2,2
red,1,2.4,3.1,0.6,2,2
red,1,2.6,3.2,0.77,2,2
red,1,2.6,3.2,0.77,2,2
red,1,2.8,3.09,0.68,2,2
red,1,5.8,3.2,0.66,2,2
red,1,2.6,3.05,0.61,2,2
red,1,4.3,3.3,0.68,2,2
red,1,4.3,3.3,0.68,2,2
red,1,2.8,3.04,0.68,2,2
red,1,4.8,3.18,0.77,2,2
red,1,2.9,3.06,0.8,2,2
red,1,2.9,3.06,0.8,2,2
red,1,3,3.02,0.93,2,2
red,1,3.8,3.01,0.81,2,2
red,1,4.2,2.92,0.74,2,2
red,1,4.2,2.92,0.74,2,2
red,1,4.2,2.92,0.74,2,2
red,1,3.7,2.95,0.68,2,2
red,1,7.5,2.98,0.84,2,2
red,1,1.5,3.5,0.48,1,1
red,1,1.7,3.32,0.44,1,1
red,1,1.4,3.36,0.45,1,1
red,1,1.4,3.36,0.45,1,1
red,1,1.4,3.36,0.45,1,1
red,1,3.9,3.32,0.48,1,1
red,1,2,3.36,0.48,1,1
red,1,4.3,3.2,0.45,1,1
red,1,4.3,3.2,0.45,1,1
red,1,1.8,3.38,0.45,1,1
red,1,1.8,3.12,0.49,1,1
red,1,2.35,3.29,0.45,1,1
red,1,2,3.45,0.48,1,1
red,1,2,3.45,0.48,1,1
red,1,1.3,3.17,0.48,1,1
red,1,2.7,3.29,0.48,1,1
red,1,2.2,3.33,0.48,1,1
red,1,1.8,3.34,0.39,1,1
red,1,1.8,3.34,0.39,1,1
red,1,1.6,3.37,0.48,1,1
red,1,7.2,3.37,0.49,1,1
red,1,2,3.33,0.47,1,1
red,1,2,3.33,0.47,1,1
red,1,2.1,3.39,0.47,1,1
red,1,7.3,3.37,0.49,1,1
red,1,1.8,3.1,0.42,1,1
red,1,4.1,3.02,0.47,1,1
red,1,1.7,3.1,0.4,1,1
red,1,2,3.1,0.43,1,1
red,1,1.9,3.34,0.49,1,1
red,1,2.3,3.12,0.44,1,1
red,1,3.8,3.24,0.45,1,1
red,1,1.6,3.4,0.47,1,1
red,1,1.7,3.16,0.49,1,1
red,1,1.7,3.16,0.49,1,1
red,1,2.1,3.32,0.48,1,1
red,1,1.9,3.31,0.48,1,1
red,1,2.6,3.39,0.49,1,1
red,1,1.7,3.35,0.48,1,1
red,1,1.8,3.08,0.49,1,1
red,1,2.2,3.27,0.45,1,1
red,1,3.8,3.26,0.46,1,1
red,1,1.6,3.39,0.48,1,1
red,1,1.6,3.16,0.46,1,1
red,1,1.6,3.16,0.46,1,1
red,1,1.8,3.36,0.33,1,1
red,1,1.6,3.3,0.46,1,1
red,1,3.4,3.19,0.42,1,1
red,1,2.3,3.34,0.46,1,1
red,1,2.3,3.34,0.46,1,1
red,1,2,3.29,0.48,1,1
red,1,2.1,3.3,0.49,1,1
red,1,2.1,3.3,0.49,1,1
red,1,3.3,3.36,0.49,1,1
red,1,2.2,3.26,0.46,1,1
red,1,2.5,3.38,0.46,1,1
red,1,2.5,3.3,0.47,1,1
red,1,2.3,3.2,0.45,1,1
red,1,2.2,3.37,0.46,1,1
red,1,2,3.22,0.44,1,1
red,1,2,3.22,0.44,1,1
red,1,1.7,3.09,0.43,1,1
red,1,6,3.37,0.49,1,1
red,1,2.1,3.13,0.48,1,1
red,1,2.1,3.2,0.48,1,1
red,1,2.6,3.3,0.48,1,1
red,1,2.4,3.08,0.46,1,1
red,1,2.3,3.4,0.48,1,1
red,1,3.2,3.36,0.45,1,1
red,1,2.2,3.36,0.49,1,1
red,1,2.2,3.36,0.49,1,1
red,1,1.6,3.32,0.47,1,1
red,1,1.8,3.3,0.44,1,1
red,1,1.4,3.12,0.48,1,1
red,1,2.5,3.2,0.47,1,1
red,1,1.6,3.15,0.49,1,1
red,1,2,3.25,0.42,1,1
red,1,2,3.25,0.42,1,1
red,1,2.3,3.25,0.48,1,1
red,1,1.8,3.38,0.55,2,2
red,1,1.4,3.32,0.58,2,2
red,1,1.6,3.58,0.52,2,2
red,1,1.8,3.42,0.57,2,2
red,1,1.6,3.41,0.56,2,2
red,1,1.7,3.46,0.79,2,2
red,1,1.6,3.56,0.84,2,2
red,1,1.8,3.52,0.6,2,2
red,1,1.4,3.34,0.56,2,2
red,1,1.7,3.34,0.58,2,2
red,1,1.6,3.34,0.56,2,2
red,1,1.8,3.46,0.68,2,2
red,1,1.8,3.46,0.68,2,2
red,1,1.9,3.57,0.62,2,2
red,1,1.8,3.59,0.66,2,2
red,1,1.8,3.59,0.66,2,2
red,1,1.8,3.59,0.66,2,2
red,1,1.6,3.58,0.66,2,2
red,1,1.9,3.46,0.65,2,2
red,1,1.8,3.34,0.52,2,2
red,1,2.4,3.66,0.65,2,2
red,1,2.4,3.66,0.65,2,2
red,1,2.1,3.49,0.67,2,2
red,1,2.1,3.32,0.62,2,2
red,1,2.2,3.4,0.63,2,2
red,1,2.1,3.39,0.64,2,2
red,1,2.1,3.38,0.69,2,2
red,1,1.5,3.4,0.58,2,2
red,1,7.9,3.47,0.53,2,2
red,1,7.9,3.47,0.53,2,2
red,1,1.8,3.28,0.54,2,2
red,1,1.9,3.52,0.58,2,2
red,1,2.2,3.1,0.53,2,2
red,1,2,3.61,0.64,2,2
red,1,2,3.61,0.64,2,2
red,1,1.9,3.59,0.57,2,2
red,1,1.8,3.54,0.58,2,2
red,1,1.6,3.29,0.6,2,2
red,1,1.8,3.48,0.52,2,2
red,1,2.1,3.33,0.56,2,2
red,1,1.5,3.42,0.6,2,2
red,1,3.8,3.28,0.61,2,2
red,1,1.5,3.36,0.79,2,2
red,1,1.7,3.41,0.67,2,2
red,1,1.7,3.41,0.67,2,2
red,1,1.9,3.4,0.74,2,2
red,1,1.2,3.32,0.51,2,2
red,1,1.8,3.62,0.68,2,2
red,1,10.7,3.45,0.52,2,2
red,1,3,3.69,0.91,2,2
red,1,3,3.69,0.91,2,2
red,1,2,3.47,0.55,2,2
red,1,1.5,3.35,0.78,2,2
red,1,2.1,3.68,0.71,2,2
red,1,2.4,3.43,0.63,2,2
red,1,1.9,3.4,0.73,2,2
red,1,1.7,3.38,0.64,2,2
red,1,1.9,3.4,0.75,2,2
red,1,1.9,3.4,0.75,2,2
red,1,2.3,3.57,0.78,2,2
red,1,1.8,3.48,0.53,2,2
red,1,1.8,3.34,0.54,2,2
red,1,1.6,3.34,0.55,2,2
red,1,1.6,3.34,0.56,2,2
red,1,1.4,3.28,0.61,2,2
red,1,2,3.25,0.63,2,2
red,1,1.5,3.08,0.6,2,2
red,1,2,3.35,0.6,2,2
red,1,2,3.31,0.6,2,2
red,1,2.1,3.47,0.67,2,2
red,1,1.8,3.22,0.59,2,2
red,1,2.7,3.55,0.6,2,2
red,1,2.1,3.47,0.67,2,2
red,1,2.1,3.47,0.67,2,2
red,1,2.1,3.47,0.67,2,2
red,1,2.5,3.48,0.56,2,2
red,1,1.9,3.34,0.6,2,2
red,1,1.9,3.35,0.6,2,2
red,1,2,3.39,0.57,2,2
red,1,1.9,3.6,0.81,2,2
red,1,1.8,3.44,0.6,2,2
red,1,2.2,3.48,0.5,2,2
red,1,1.6,3.27,0.62,2,2
red,1,1.9,3.27,0.64,2,2
red,1,1.6,3.44,0.5,2,2
red,1,1.9,3.47,0.55,2,2
red,1,2,3.28,0.62,2,2
red,1,1.8,3.19,0.5,2,2
red,1,1.9,3.38,0.52,2,2
red,1,3.9,3.46,0.54,2,2
red,1,2.2,2.94,1.62,2,2
red,1,2,3.67,0.73,2,2
red,1,2.3,3.55,0.53,2,2
red,1,2.3,3.55,0.53,2,2
red,1,2.5,3.48,0.6,2,2
red,1,1.8,3.45,0.58,2,2
red,1,2.5,3.55,0.59,2,2
red,1,2.6,3.5,0.6,2,2
red,1,1.8,3.47,0.7,2,2
red,1,1.8,3.47,0.7,2,2
red,1,1.9,3.37,0.58,2,2
red,1,1.9,3.37,0.58,2,2
red,1,1.9,3.37,0.58,2,2
red,1,1.9,3.37,0.58,2,2
red,1,2,3.48,0.64,2,2
red,1,2.5,3.44,0.52,2,2
red,1,4,3.25,0.51,2,2
red,1,2.1,3.44,0.52,2,2
red,1,2.1,3.44,0.52,2,2
red,1,2.7,3.51,0.54,2,2
red,1,2.7,3.51,0.54,2,2
red,1,2.5,3.53,0.55,2,2
red,1,2.5,3.53,0.55,2,2
red,1,1.8,3.4,0.58,2,2
red,1,1.8,3.42,0.59,2,2
red,1,1.8,3.42,0.59,2,2
red,1,1.6,3.36,0.7,2,2
red,1,2.1,3.52,0.72,2,2
red,1,1.4,3.32,0.81,2,2
red,1,1.4,3.32,0.81,2,2
red,1,2.5,3.51,0.53,2,2
red,1,2.6,3.51,0.54,2,2
red,1,2.3,3.53,0.57,2,2
red,1,2.3,3.53,0.57,2,2
red,1,2.3,3.67,0.8,2,2
red,1,2.2,3.53,0.58,2,2
red,1,2,3.29,0.51,2,2
red,1,2,3.26,0.52,2,2
red,1,1.7,3.3,0.57,2,2
red,1,2.5,3.49,0.52,2,2
red,1,1.8,3.35,0.56,2,2
red,1,1.9,3.26,0.59,2,2
red,1,2.4,3.41,0.54,2,2
red,1,1.8,3.16,1.14,2,2
red,1,1.7,3.41,0.65,2,2
red,1,2.1,3.52,0.73,2,2
red,1,2.1,3.52,0.73,2,2
red,1,2.1,3.31,0.55,2,2
red,1,1.7,3.24,0.5,2,2
red,1,2,3.28,0.52,2,2
red,1,2,3.61,0.96,2,2
red,1,2,3.61,0.96,2,2
red,1,4.4,3.38,0.5,2,2
red,1,2,3.36,0.57,2,2
red,1,2,3.34,0.55,2,2
red,1,2.2,3.05,0.63,2,2
red,1,1.9,3.26,0.86,2,2
red,1,1.9,3.51,0.56,2,2
red,1,1.9,3.51,0.56,2,2
red,1,1.8,3.51,0.56,2,2
red,1,2,3.15,0.57,2,2
red,1,5.4,3.28,0.5,2,2
red,1,1.7,3.41,0.53,2,2
red,1,1.6,3.39,0.54,2,2
red,1,5.2,3.16,0.52,2,2
red,1,5.2,3.16,0.52,2,2
red,1,1.8,3.3,0.58,2,2
red,1,1.8,3.3,0.58,2,2
red,1,2.6,3.33,0.68,2,2
red,1,2.4,3.43,0.76,2,2
red,1,2.1,3.29,0.56,2,2
red,1,2.1,3.29,0.56,2,2
red,1,2,3.48,0.65,2,2
red,1,2,3.48,0.65,2,2
red,1,1.8,3.5,0.7,2,2
red,1,1.6,3.31,0.64,2,2
red,1,3.7,3.14,0.58,2,2
red,1,8.1,3.2,0.58,2,2
red,1,8.1,3.2,0.58,2,2
red,1,1.6,3.34,0.58,2,2
red,1,5.1,3.26,0.77,2,2
red,1,7,3.38,0.77,2,2
red,1,1.9,3.38,0.62,2,2
red,1,2.7,3.45,0.62,2,2
red,1,2,3.45,0.78,2,2
red,1,1.8,3,1.59,2,2
red,1,1.5,3.42,0.58,2,2
red,1,2.6,3.32,0.7,2,2
red,1,1.9,3.39,0.54,2,2
red,1,1.9,3.3,0.53,2,2
red,1,1.9,3.3,0.53,2,2
red,1,2,3.26,0.58,2,2
red,1,2,3.26,0.58,2,2
red,1,2.2,3.28,0.59,2,2
red,1,1.9,3.41,0.58,2,2
red,1,1.9,3.41,0.58,2,2
red,1,3,3.36,0.57,2,2
red,1,3.9,3.15,0.57,2,2
red,1,2,3.48,0.64,2,2
red,1,1.3,3.17,1.08,2,2
red,1,1.5,3.39,0.51,2,2
red,1,2.3,3.21,0.61,2,2
red,1,1.6,3.11,0.8,2,2
red,1,2.2,3.36,0.52,2,2
red,1,2.5,3.39,0.61,2,2
red,1,1.8,3.28,0.59,2,2
red,1,1.9,3.45,0.59,2,2
red,1,1.7,3.46,0.62,2,2
red,1,1.7,3.46,0.62,2,2
red,1,2.1,3.4,0.64,2,2
red,1,2.1,3.4,0.64,2,2
red,1,2,3.2,0.56,2,2
red,1,2.4,3.47,0.66,2,2
red,1,2.2,3.28,0.55,2,2
red,1,2.2,3.28,0.55,2,2
red,1,2.3,3.52,0.65,2,2
red,1,2.5,3.39,0.56,2,2
red,1,2.1,3.26,0.54,2,2
red,1,2.7,3.26,0.61,2,2
red,1,2.2,3.25,0.73,2,2
red,1,2.1,3.42,0.74,2,2
red,1,2.6,3.3,0.52,2,2
red,1,2,3.48,0.62,2,2
red,1,1.8,3.21,0.71,2,2
red,1,2.4,3.27,0.73,2,2
red,1,1.8,3.06,1.26,2,2
red,1,2.1,3.26,0.5,2,2
red,1,2.1,3.26,0.5,2,2
red,1,3.8,3.34,0.53,2,2
red,1,1.9,3.32,0.54,2,2
red,1,1.9,3.23,0.59,2,2
red,1,1.9,3.39,0.64,2,2
red,1,1.9,3.39,0.64,2,2
red,1,2.5,3.24,0.66,2,2
red,1,1.5,3.16,0.54,2,2
red,1,1.5,3.16,0.54,2,2
red,1,3.5,3.25,1.08,2,2
red,1,1.9,3.43,0.65,2,2
red,1,1.9,3.43,0.65,2,2
red,1,1.7,3.09,1.06,2,2
red,1,1.6,3.26,1.56,2,2
red,1,2.2,3.25,0.56,2,2
red,1,2,3.41,0.74,2,2
red,1,1.9,3.43,0.74,2,2
red,1,1.8,3.29,0.53,2,2
red,1,2.3,3.29,0.63,2,2
red,1,1.7,3.08,1.31,2,2
red,1,2,3.37,0.5,2,2
red,1,2,3.25,0.54,2,2
red,1,2,3.34,0.59,2,2
red,1,1.7,3.26,0.64,2,2
red,1,2.7,3.22,0.67,2,2
red,1,1.9,3.13,1.28,2,2
red,1,2.1,3.33,0.54,2,2
red,1,2,3.32,0.54,2,2
red,1,2,3.36,0.57,2,2
red,1,2.4,3.3,0.6,2,2
red,1,1.7,3.19,0.62,2,2
red,1,2.2,3.18,0.62,2,2
red,1,1.8,3.19,0.93,2,2
red,1,1.8,3.19,0.93,2,2
red,1,5.5,3.4,0.55,2,2
red,1,2,3.38,0.59,2,2
red,1,2.3,3.26,0.65,2,2
red,1,2.6,3.2,0.68,2,2
red,1,2.4,3.24,0.71,2,2
red,1,1.8,3.28,0.87,2,2
red,1,1.6,3.32,0.87,2,2
red,1,1.8,3.04,1.08,2,2
red,1,1.7,3.29,0.65,2,2
red,1,1.8,3.28,0.67,2,2
red,1,2,3.27,0.54,2,2
red,1,2.6,3.4,0.53,2,2
red,1,1.9,3.23,0.54,2,2
red,1,2,3.2,0.55,2,2
red,1,1.9,3.2,0.55,2,2
red,1,1.9,3.27,0.58,2,2
red,1,2.3,3.21,0.58,2,2
red,1,2.3,3.21,0.58,2,2
red,1,1.4,3.43,0.58,2,2
red,1,2,3.29,0.69,2,2
red,1,1.6,3.17,0.91,2,2
red,1,1.6,3.17,0.91,2,2
red,1,1.8,3.31,0.91,2,2
red,1,1.8,3.3,0.92,2,2
red,1,1.9,3.39,0.54,2,2
red,1,2.1,3.25,0.51,2,2
red,1,2.1,3.25,0.51,2,2
red,1,2.2,3.22,0.55,2,2
red,1,2,3.29,0.61,2,2
red,1,2,3.29,0.61,2,2
red,1,3.2,3.26,0.57,2,2
red,1,3.2,3.22,0.54,2,2
red,1,2,3.24,0.66,2,2
red,1,2.6,3.44,0.53,2,2
red,1,2.3,3.24,0.54,2,2
red,1,2.3,3.24,0.54,2,2
red,1,2.5,3.37,0.8,2,2
red,1,2.5,3.22,1.07,2,2
red,1,2.1,3.27,0.5,2,2
red,1,1.8,3.37,0.52,2,2
red,1,2.2,3.08,0.53,2,2
red,1,1.9,3.3,0.59,2,2
red,1,1.9,3.3,0.59,2,2
red,1,2.2,3.36,0.55,2,2
red,1,2.1,3.29,0.51,2,2
red,1,2.1,3.29,0.51,2,2
red,1,2,3.21,0.69,2,2
red,1,1.7,3.11,1.28,2,2
red,1,1.8,3.17,0.62,2,2
red,1,1.8,3.3,1.05,2,2
red,1,4.1,3.36,0.53,2,2
red,1,2.1,3.23,0.73,2,2
red,1,2.2,3.25,0.5,2,2
red,1,2.2,3.25,0.5,2,2
red,1,3.3,3.6,0.72,2,2
red,1,2.6,3.34,0.75,2,2
red,1,2.3,3.32,0.55,2,2
red,1,2.3,3.32,0.55,2,2
red,1,2,3.13,0.62,2,2
red,1,2,3.13,0.62,2,2
red,1,2.5,3.5,0.65,2,2
red,1,2.9,3.23,0.62,2,2
red,1,3.4,3.28,0.62,2,2
red,1,2,3.19,0.7,2,2
red,1,1.7,3.2,0.52,2,2
red,1,1.7,3.2,0.52,2,2
red,1,2,3.34,0.64,2,2
red,1,1.5,3.26,0.74,2,2
red,1,2.3,3.38,0.99,2,2
red,1,2.9,3.17,0.62,2,2
red,1,1.5,3.16,1.12,2,2
red,1,2.1,3.31,0.53,2,2
red,1,2.6,3.31,0.59,2,2
red,1,2.6,3.26,0.61,2,2
red,1,3.4,3.27,0.61,2,2
red,1,2,3.21,0.8,2,2
