wine_type,winetype_numeric
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
red,1
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
